sample_id	reference	material_source_and_purity	synthesis_method	processing_route	operating_temperature	conductivity
362	10.1149/200507.0941PV	Sc2O3 powder supplied by Stanford Material Corporation with 99.99% purity, ZrO2 powder supplied by Fluka with 99% purity, and Y2O3 powder supplied by Alfa Aesar with 99.9% purity were used as starting materials.	Solid-state synthesis	dry pressing	400	0.00000284647166507466
363	10.1149/200507.0941PV	Sc2O3 powder supplied by Stanford Material Corporation with 99.99% purity, ZrO2 powder supplied by Fluka with 99% purity, and Y2O3 powder supplied by Alfa Aesar with 99.9% purity were used.	Solid-state synthesis	dry pressing	350	0.000000496359761616586
364	10.1016/S0167-2738(00)00591-9	Please provide the raw material description you want normalized (or “/” if none).	/	spin coating	600	0.00411183003606635
365	10.1016/S0167-2738(00)00591-9	""	/	spin coating	550	0.0019872178530299
366	10.1016/S0167-2738(00)00591-9	""	/	spin coating	500	0.0006676693968062
367	10.1016/S0167-2738(00)00591-9	""	/	spin coating	450.023	0.000228901649371271
368	10.1016/S0167-2738(00)00591-9	Please provide the raw material description you want normalized.	/	spin coating	400	0.0000641235281929745
369	10.1016/S0167-2738(00)00591-9	Please provide the raw material description to normalize.	/	spin coating	350	0.0000122382437119632
370	10.1016/S0167-2738(00)00591-9	""	/	spin coating	600	0.0833782287714468
371	10.1016/S0167-2738(00)00591-9	""	/	spin coating	550	0.0402961132020043
372	10.1016/S0167-2738(00)00591-9	""	/	spin coating	500	0.0190854184990157
373	10.1016/S0167-2738(00)00591-9	Please provide the raw material description to normalize.	/	spin coating	450	0.00800771802424203
374	10.1016/S0167-2738(00)00591-9	""	/	spin coating	400	0.00274534265689434
375	10.1016/S0167-2738(00)00591-9	Please provide the raw material description to normalize.	/	spin coating	349.649	0.000833782094986481
376	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as the starting materials.	Sol–gel method	dry pressing	800	0.147046536751081
377	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	750	0.0926842992321211
378	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	700	0.0542028057203101
379	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	650	0.0302769216230718
380	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	600	0.0155314253496023
381	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	550	0.0075555392687694
382	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as the raw materials.	Sol–gel method	dry pressing	500	0.00326082212207453
383	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	800	0.126545078084437
384	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	750	0.0796068388086791
385	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	700	0.0434687853171944
386	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as the material precursors.	Sol–gel method	dry pressing	650	0.024977104073643
387	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	600	0.0127160550309041
388	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	550	0.00581542391731054
389	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	500	0.00245559857885033
390	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	800	0.11462723843899
391	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	750	0.0687702134237342
392	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as precursor materials.	Sol–gel method	dry pressing	700	0.0394257969708632
393	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as the material precursors.	Sol–gel method	dry pressing	650	0.0234659894486846
394	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	600	0.0105421082549161
395	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	550	0.0047898781381398
396	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	500	0.00202323885325841
397	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	800	0.102732494056136
398	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	750	0.0603696978325793
399	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	700	0.0358227363128967
400	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as precursor materials.	Sol–gel method	dry pressing	650	0.0188252872198444
401	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	600	0.00888108979706909
402	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	550	0.00420415780825104
403	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	500	0.00171557709831313
404	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	800	0.0841764839055481
405	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	750	0.0508471512596896
406	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	700	0.0281503655933812
407	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	650	0.0149934688630913
408	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as the raw materials.	Sol–gel method	dry pressing	600	0.00757598591703821
409	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as starting materials.	Sol–gel method	dry pressing	550	0.00341738539008116
410	10.1016/j.ceramint.2015.12.110	Sc(NO3)3·6H2O, Ce(NO3)3·6H2O, and Zr(NO3)3·6H2O were used as raw materials.	Sol–gel method	dry pressing	500	0.00136676507804893
411	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	1000.5	0.000395678839731561
412	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	950	0.000353293699337788
413	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	900	0.000312042603133259
414	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3.	Coprecipitation	dry pressing	850	0.000274939504059872
415	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	800	0.000243296048396725
416	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	750	0.000196056844608193
417	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	700	0.000164736452697231
418	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	650	0.000132776617316478
419	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	600	0.000105234573047868
420	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	550	0.000082548893621667
421	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	500	0.0000645451237810888
422	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	1000	0.000348540991347868
423	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as the listed materials.	Coprecipitation	dry pressing	900	0.000293327993959044
424	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	850	0.000256882574918739
425	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	800	0.000221601600050644
426	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	750	0.000196739003431736
427	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as materials.	Coprecipitation	dry pressing	700	0.000167456709407429
428	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as raw materials.	Coprecipitation	dry pressing	650	0.000139878330073542
429	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	600	0.000118736650483423
430	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	550	0.0000948797756831559
431	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	1000	0.000282878980630344
432	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	950	0.000234451082921376
433	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	900	0.000207522227877293
434	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	850	0.000179094953020333
435	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	800	0.000134556784297084
436	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as the materials.	Coprecipitation	dry pressing	750	0.00010971825896178
437	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	700	0.0000964089255987272
438	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	650	0.0000844116004203593
439	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	600	0.0000679567485502349
440	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	550	0.0000481962845981269
441	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as raw materials.	Coprecipitation	dry pressing	500	0.0000400879968606614
442	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	1000	0.000215417589724478
443	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	950	0.000193745071097953
444	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	900	0.000164855234285717
445	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	850	0.000144118784519763
446	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as the listed raw materials.	Coprecipitation	dry pressing	800	0.00011886034733618
447	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	750	0.0000930252356806316
448	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	700	0.0000778707607520657
449	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	650	0.0000647983190246856
450	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	600	0.0000532345935451563
451	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as the materials.	Coprecipitation	dry pressing	550	0.0000430853716892685
452	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as the specified materials.	Coprecipitation	dry pressing	500	0.0000355921065384427
453	10.1016/0167-2738(95)00044-7	ZrOCl2 and Y2O3 were used as starting materials.	Coprecipitation	dry pressing	450	0.0000295801951881073
454	10.1007/s43207-023-00296-3	The materials used were ZrOCl2 and Sc2O3.	Sol–gel method	isostatic pressing	1000	0.195961952176871
455	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as raw materials.	Sol–gel method	isostatic pressing	1000	0.232008454071759
456	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as raw materials.	Sol–gel method	isostatic pressing	1000	0.276902744423172
457	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.289027484733643
458	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.297875264189742
459	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.271331921321231
460	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.254291755479949
461	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.182198733689321
462	10.1007/s43207-023-00296-3	ZrOCl2 and Sc2O3 were used as the materials.	Sol–gel method	isostatic pressing	1000	0.137959836408825
463	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0602959825158292
464	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.12157506363846
465	10.1007/s43207-023-00296-3	The raw materials were ZrOCl2 and Yb2O3.	Sol–gel method	isostatic pressing	1000	0.120919670567543
466	10.1007/s43207-023-00296-3	The materials listed are ZrOCl2 and Yb2O3.	Sol–gel method	isostatic pressing	1000	0.143530650510339
467	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.152050742431406
468	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.13959831008569
469	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.101585619977625
470	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0953594128051945
471	10.1007/s43207-023-00296-3	ZrOCl2 and Yb2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0734038079324622
472	10.1007/s43207-023-00296-3	The raw materials were ZrOCl2 and Yb2O3.	Sol–gel method	isostatic pressing	1000	0.0439112097454646
473	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.146152222794007
474	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as raw materials.	Sol–gel method	isostatic pressing	1000	0.135665969661042
475	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as raw materials.	Sol–gel method	isostatic pressing	1000	0.134027495984176
476	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0947040197342775
477	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as the listed raw materials.	Sol–gel method	isostatic pressing	1000	0.11076110496961
478	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0727484148615452
479	10.1007/s43207-023-00296-3	ZrOCl2 and Er2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0639006354054459
480	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as the materials.	Sol–gel method	isostatic pressing	1000	0.146152222794007
481	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.135665969661042
482	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as the materials.	Sol–gel method	isostatic pressing	1000	0.134027495984176
483	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as materials.	Sol–gel method	isostatic pressing	1000	0.0947040197342775
484	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.11076110496961
485	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as the listed materials.	Sol–gel method	isostatic pressing	1000	0.0727484148615452
486	10.1007/s43207-023-00296-3	ZrOCl2 and Y2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0639006354054459
487	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as the starting materials.	Sol–gel method	isostatic pressing	1000	0.0186786575190007
488	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0383403776430968
489	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0530866767365957
490	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as raw materials.	Sol–gel method	isostatic pressing	1000	0.0865116333490952
491	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0842177666013124
492	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.075042281609328
493	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0639006354054459
494	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0593129019098803
495	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0245771771564002
496	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.0206448187308983
497	10.1007/s43207-023-00296-3	ZrOCl2 and Gd2O3 were used as the starting materials.	Sol–gel method	isostatic pressing	1000	0.0154017101652692
498	10.1007/s43207-023-00296-3	ZrOCl2 and Dy2O3 were used as raw materials.	Sol–gel method	isostatic pressing	1000	0.0943700285911506
499	10.1007/s43207-023-00296-3	ZrOCl2 and Dy2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.129171033919975
500	10.1007/s43207-023-00296-3	ZrOCl2 and Dy2O3 were used as starting materials.	Sol–gel method	isostatic pressing	1000	0.126221796180244
501	10.1007/s43207-023-00296-3	ZrOCl2 and Dy2O3 were used as the raw materials.	Sol–gel method	isostatic pressing	1000	0.110885759933644
502	实验室自行制备	ZrO2 and Y2O3 were used as raw materials.	Solid-state synthesis	tape casting	500	0.0003033878638311
503	实验室自行制备	ZrO2 and Y2O3 were used as raw materials.	Solid-state synthesis	tape casting	550	0.000778623422405156
504	实验室自行制备	ZrO2 and Y2O3 are listed as the materials.	Solid-state synthesis	tape casting	600	0.00178782134043327
505	实验室自行制备	ZrO2 and Y2O3 were used as starting materials.	Solid-state synthesis	tape casting	650	0.00372532074657723
506	实验室自行制备	ZrO2 and Y2O3 were used as starting materials.	Solid-state synthesis	tape casting	700	0.00674952775714132
507	实验室自行制备	A material mixture consisting of ZrO2 and Y2O3.	Solid-state synthesis	tape casting	750	0.0112281863623472
508	实验室自行制备	ZrO2 and Y2O3 were used as starting materials.	Solid-state synthesis	tape casting	800	0.0171630848681594
509	实验室自行制备	ZrO2 and Y2O3 were used as starting materials.	Solid-state synthesis	tape casting	850	0.024271029106488
510	实验室自行制备	The material consists of ZrO2 and Y2O3.	Solid-state synthesis	tape casting	500	0.000301484552263778
511	实验室自行制备	A mixture of ZrO2 and Y2O3 was used as the material.	Solid-state synthesis	tape casting	550	0.000757991129824073
512	实验室自行制备	The material consists of ZrO2 and Y2O3.	Solid-state synthesis	tape casting	600	0.00179315812055396
513	实验室自行制备	A material consisting of ZrO2 and Y2O3.	Solid-state synthesis	tape casting	650	0.00371380507193557
514	实验室自行制备	ZrO2 and Y2O3 were used as starting materials.	Solid-state synthesis	tape casting	700	0.00673062151692524
515	实验室自行制备	A mixture of ZrO2 and Y2O3 was used.	Solid-state synthesis	tape casting	750	0.0112281863623472
516	实验室自行制备	ZrO2 and Y2O3 were used as starting materials.	Solid-state synthesis	tape casting	800	0.0172865602988655
517	实验室自行制备	A mixture of ZrO2 and Y2O3.	Solid-state synthesis	tape casting	850	0.024271029106488
518	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as starting materials.	Solid-state synthesis	dry pressing	600	0.00540611229850944
519	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	650	0.0111976603812645
520	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	700	0.0196641840841717
521	实验室自行制备	The materials were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	750	0.0380297899741057
522	实验室自行制备	The materials are ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	800	0.0468739271773862
523	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	650	0.0110341908866475
524	实验室自行制备	The material consists of ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	700	0.0192571229486714
525	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as materials.	Solid-state synthesis	dry pressing	750	0.0312492847849241
526	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	800	0.047056315999088
527	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	550	0.00114283241735625
528	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as starting materials.	Solid-state synthesis	dry pressing	600	0.00280222508735753
529	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as starting materials.	Solid-state synthesis	dry pressing	650	0.00572216324722949
530	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	700	0.0102591922654303
531	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	750	0.0164560198083076
532	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	800	0.0245194695143784
533	实验室自行制备	The material consists of ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	600	0.00278630335390663
534	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	650	0.00568897204509939
535	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	700	0.010174053740406
536	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	750	0.0161844683263223
537	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	800	0.0245194695143784
538	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	750	0.00189915560149591
539	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	800	0.00299335623140146
540	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	800	0.00300221755831502
541	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	550	0.00189238424514763
542	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	600	0.00546749289821071
543	实验室自行制备	The material consists of ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	650	0.018572373236835
544	实验室自行制备	The materials are ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	700	0.0326452539884574
545	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	750	0.05162917886218
546	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as materials.	Solid-state synthesis	dry pressing	800	0.0753949913542946
547	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	850	0.10325835772436
548	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	900	0.134748495186399
549	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	600	0.00545963730496616
550	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	650	0.018572373236835
551	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	700	0.0326452539884574
552	实验室自行制备	The materials used were ZrO2, Y2O3, and Sc2O3.	Solid-state synthesis	dry pressing	750	0.0512116922406529
553	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as starting materials.	Solid-state synthesis	dry pressing	800	0.0748013300050482
554	实验室自行制备	ZrO2, Y2O3, and Sc2O3 were used as starting materials.	Solid-state synthesis	dry pressing	850	0.102700204439363
